area_code,area_name,area_type_name,admin_code,admin_name,district_name,overlap_m2,area_m2,overlap_share
3120002,서촌(경복궁역),발달상권,11110515,청운효자동,종로구,79928.179672513,176636.78049779034,0.4525002066232342
3120003,광화문역,발달상권,11110530,사직동,종로구,322955.50232511346,394521.638660979,0.8186002253798711
3120003,광화문역,발달상권,11110615,종로1·2·3·4가동,종로구,69124.32492276421,394521.638660979,0.17521047808017506
3120003,광화문역,발달상권,11140550,명동,중구,1362.0944607125596,394521.638660979,0.00345252155328047
3120003,광화문역,발달상권,11140520,소공동,중구,1079.7169523882526,394521.638660979,0.0027367749866720917
3120004,종로구청,발달상권,11110615,종로1·2·3·4가동,종로구,121450.62188531201,124067.35521492187,0.9789087683454128
3120004,종로구청,발달상권,11110540,삼청동,종로구,2550.4514359249793,124067.35521492187,0.020556990446897433
3120004,종로구청,발달상권,11110515,청운효자동,종로구,66.28189368503304,124067.35521492187,0.0005342412076908782
3120005,삼청동,발달상권,11110540,삼청동,종로구,240564.69543234343,251642.7438712142,0.9559770797740932
3120005,삼청동,발달상권,11110515,청운효자동,종로구,11078.048438870837,251642.7438712142,0.04402292022590711
3120006,종각역,발달상권,11110615,종로1·2·3·4가동,종로구,270172.5228350246,270326.0950694347,0.99943190007472
3120006,종각역,발달상권,11140550,명동,중구,153.57223441001872,270326.0950694347,0.0005680999252794032
3120007,북촌(안국역),발달상권,11110600,가회동,종로구,159123.67682941607,197674.6251534211,0.804977759314912
3120007,북촌(안국역),발달상권,11110540,삼청동,종로구,38059.02614287455,197674.6251534211,0.19253369578081062
3120007,북촌(안국역),발달상권,11110615,종로1·2·3·4가동,종로구,491.92218113022665,197674.6251534211,0.0024885449042760612
3120008,인사동,발달상권,11110615,종로1·2·3·4가동,종로구,182167.66182471561,182318.5851860951,0.9991721997994586
3120008,인사동,발달상권,11110600,가회동,종로구,100.34909899461886,182318.5851860951,0.0005504052090585891
3120008,인사동,발달상권,11110540,삼청동,종로구,50.57426238394922,182318.5851860951,0.0002773949914778429
3120009,종로3가역,발달상권,11110615,종로1·2·3·4가동,종로구,393617.5811107618,401519.6768534849,0.980319530527998
3120009,종로3가역,발달상권,11140605,을지로동,중구,4811.507998566773,401519.6768534849,0.01198324335253562
3120009,종로3가역,발달상권,11140550,명동,중구,3089.029501070723,401519.6768534849,0.007693345255898666
3120009,종로3가역,발달상권,11110600,가회동,종로구,1.5582430867656836,401519.6768534849,3.8808635705649085e-06
3120010,원남동사거리,발달상권,11110615,종로1·2·3·4가동,종로구,79636.46865084827,99120.26629074021,0.8034327552879859
3120010,원남동사거리,발달상권,11110630,종로5·6가동,종로구,14660.352488415698,99120.26629074021,0.14790469232007364
3120010,원남동사거리,발달상권,11110640,이화동,종로구,4823.445151476453,99120.26629074021,0.04866255239194266
3120011,종로4가,발달상권,11110615,종로1·2·3·4가동,종로구,111438.64642290234,115988.40761688068,0.9607740007173253
3120011,종로4가,발달상권,11140605,을지로동,중구,4282.88735385937,115988.40761688068,0.03692513279435736
3120011,종로4가,발달상권,11110630,종로5·6가동,종로구,266.87384011843795,115988.40761688068,0.0023008664883127318
3120012,대학로(혜화역),발달상권,11110650,혜화동,종로구,145411.3141173309,256887.84454988578,0.5660498042331197
3120012,대학로(혜화역),발달상권,11110640,이화동,종로구,111476.5304325547,256887.84454988578,0.43395019576687976
3120013,이화사거리,발달상권,11110630,종로5·6가동,종로구,110973.42958152012,134283.3354516815,0.8264125195300287
3120013,이화사거리,발달상권,11110640,이화동,종로구,22112.693149457908,134283.3354516815,0.16467190865552048
3120013,이화사거리,발달상권,11110615,종로1·2·3·4가동,종로구,1197.2127207033254,134283.3354516815,0.008915571814449847
3120014,종로5가역,발달상권,11110630,종로5·6가동,종로구,135275.27696585844,136025.95628241968,0.9944813524045172
3120014,종로5가역,발달상권,11110615,종로1·2·3·4가동,종로구,749.8566979768486,136025.95628241968,0.005512600083619202
